CuisineType,RestaurantID,RestaurantName,Segment,Subregion,GrowthFactor,AOV,MonthlyOrders,InStoreOrders,InStoreRevenue,UberEatsOrders,DoorDashOrders,SelfDeliveryOrders,UberEatsRevenue,DoorDashRevenue,SelfDeliveryRevenue,COGSRate,OPEXRate,CommissionRate,DeliveryRadiusKM,DeliveryCostPerOrder,SD_DeliveryTotalCost,InStoreNetProfit,UberEatsNetProfit,DoorDashNetProfit,SelfDeliveryNetProfit,InStoreShare,UE_share,DD_share,SD_share,TotalRevenue,TotalNetProfit,ProfitPerOrder,UE_RevRatio,DD_RevRatio,SD_RevRatio,DeliveryCostRatio,Commission_UE,Commission_DD,SD_Cost_Interaction,Radius_SD,AdjustedDemand,InStore_RevRatio,Aggregator_RevRatio,ProfitMargin,RevenuePerOrder,AggregtorShare,SD_ProfitPerOrder,AggregatorProfit,TotalDeliveryOrders,DeloveryOrderRatio
Burgers,25731,Urban Burgers House,Cafe,North Shore,1.03,43.97,668,197,8662.09,212,118,141,9321.64,5188.46,6199.77,0.2087414306961,0.366171811125241,0.28,11,3.25,458.25,3682.14,1352.45,752.78,2177.19,0.42,0.45,0.25,0.3,29371.96,7964.5599999999995,11.922994011976048,0.31736526946107785,0.17664670658682635,0.21107784431137727,0.015601614601136595,0.12600000000000003,0.07,0.975,3.3,688.04,0.2949101796407186,0.49401197604790414,0.2711620198311587,43.97,0.7,15.441063829787234,2105.23,471,0.7050898203592815
Burgers,25123,Urban Burgers Diner,QSR,South Auckland,1.05,40.45,1388,259,10476.55,508,282,339,20548.6,11406.9,13712.55,0.248216602616012,0.407612904394045,0.28,16,4.72,1600.08,3605.72,1318.61,731.99,3119.38,0.23,0.45,0.25,0.3,56144.59999999999,8775.7,6.322550432276658,0.36599423631123923,0.20317002881844384,0.24423631123919312,0.028499267961656156,0.12600000000000003,0.07,1.416,4.8,1457.4,0.18659942363112395,0.5691642651296831,0.1563053258906467,40.449999999999996,0.7,9.201710914454278,2050.6,1129,0.8134005763688761
Burgers,25177,King Burgers Eatery,Cafe,West Auckland,1.04,40.03,1717,524,20975.72,537,298,358,21496.11,11928.94,14330.74,0.219687956366688,0.407931713876314,0.3,11,3.25,1163.5,7810.95,1555.9,863.42,4172.99,0.44,0.45,0.25,0.3,68731.51000000001,14403.26,8.38861968549796,0.3127548048922539,0.1735585323238206,0.2085032032615026,0.01692818912315472,0.135,0.075,0.975,3.3,1785.68,0.3051834595224228,0.4863133372160745,0.20955832339490282,40.03000000000001,0.7,11.656396648044693,2419.32,1193,0.6948165404775771
Burgers,25540,Classic Burgers Tavern,QSR,North Shore,1.03,36.28,1083,216,7836.48,390,217,260,14149.2,7872.76,9432.8,0.237290996648371,0.437815106310882,0.33,3,0.89,231.4,2546.02,-72.25,-40.2,2833.26,0.25,0.45,0.25,0.3,39291.240000000005,5266.83,4.863185595567867,0.36011080332409967,0.20036934441366572,0.2400738688827331,0.005889353453848745,0.14850000000000002,0.0825,0.267,0.8999999999999999,1115.49,0.19944598337950134,0.5604801477377653,0.13404590946989708,36.28000000000001,0.7,10.897153846153847,-112.45,867,0.8005540166204986
Burgers,25258,Lucky Burgers Bistro,Cafe,South Auckland,1.05,34.34,1230,261,8962.74,436,242,291,14972.24,8310.28,9992.94,0.221437567938119,0.433456663764082,0.33,9,2.66,774.06,3093.09,226.17,125.53,2674.56,0.27,0.45,0.25,0.3,42238.200000000004,6119.35,4.975081300813009,0.3544715447154471,0.1967479674796748,0.23658536585365852,0.018326065031180304,0.14850000000000002,0.0825,0.798,2.6999999999999997,1291.5,0.21219512195121948,0.5512195121951219,0.1448771491209379,34.34,0.7,9.190927835051546,351.7,969,0.7878048780487805
Burgers,26138,King Burgers Kitchen,QSR,North Shore,1.03,36.88,827,160,5900.8,300,167,200,11064.0,6158.96,7376.0,0.265131494924426,0.395680021704175,0.29,13,3.84,768.0,2001.48,544.22,302.95,1733.85,0.24,0.45,0.25,0.3,30499.76,4582.5,5.541112454655381,0.36275695284159615,0.20193470374848851,0.2418379685610641,0.02518052601069648,0.1305,0.0725,1.152,3.9,851.8100000000001,0.1934703748488513,0.5646916565900847,0.15024708391147998,36.879999999999995,0.7,8.66925,847.1700000000001,667,0.8065296251511487
Burgers,25396,Urban Burgers Eatery,QSR,South Auckland,1.05,46.32,881,176,8152.32,317,176,212,14683.44,8152.32,9819.84,0.224100138861686,0.372992298309691,0.28,7,2.07,438.84,3284.63,1804.71,1001.98,3517.65,0.25,0.45,0.25,0.3,40807.92,9608.97,10.906889897843358,0.3598183881952327,0.19977298524404086,0.2406356413166856,0.010753794851587633,0.12600000000000003,0.07,0.6209999999999999,2.1,925.0500000000001,0.19977298524404086,0.5595913734392737,0.23546826204325041,46.32,0.7,16.592688679245285,2806.69,705,0.8002270147559591
Burgers,25087,Urban Burgers Tavern,Ghost Kitchen,CBD,0.99,34.74,800,72,2501.28,328,182,218,11394.72,6322.68,7573.32,0.285647804650944,0.293128232413437,0.31,18,5.31,1157.58,1053.6,1267.37,703.23,2032.48,0.1,0.45,0.25,0.3,27792.0,5056.68,6.32085,0.41,0.2275,0.27249999999999996,0.04165155440414507,0.1395,0.0775,1.5929999999999997,5.3999999999999995,792.0,0.09000000000000001,0.6375000000000001,0.18194732297063904,34.74,0.7,9.323302752293579,1970.6,728,0.91
Burgers,25125,Classic Burgers Tavern,Cafe,CBD,0.99,32.79,612,152,4984.08,207,115,138,6787.53,3770.85,4525.02,0.279599561002105,0.3755833853269,0.3,8,2.36,325.68,1718.6,304.2,169.0,1234.62,0.33,0.45,0.25,0.3,20067.480000000003,3426.42,5.598725490196078,0.33823529411764697,0.18790849673202611,0.22549019607843135,0.0162292425356846,0.135,0.075,0.708,2.4,605.88,0.24836601307189538,0.5261437908496731,0.17074490668484532,32.790000000000006,0.7,8.946521739130434,473.2,460,0.7516339869281046
Burgers,25762,Lucky Burgers Cafe,QSR,South Auckland,1.05,36.07,572,128,4616.96,200,111,133,7214.0,4003.77,4797.31,0.22032218426466,0.43025645299349,0.27,11,3.25,432.25,1613.26,572.95,317.98,1244.03,0.29,0.45,0.25,0.3,20632.04,3748.2200000000003,6.552832167832168,0.34965034965034963,0.19405594405594404,0.23251748251748253,0.020950424679285228,0.12150000000000001,0.0675,0.975,3.3,600.6,0.22377622377622378,0.5437062937062938,0.181669868805993,36.07,0.7,9.353609022556391,890.9300000000001,444,0.7762237762237763
