RestaurantID,RestaurantName,GrowthFactor,AOV,MonthlyOrders,InStoreOrders,InStoreRevenue,UberEatsOrders,DoorDashOrders,SelfDeliveryOrders,UberEatsRevenue,DoorDashRevenue,SelfDeliveryRevenue,COGSRate,OPEXRate,CommissionRate,DeliveryRadiusKM,DeliveryCostPerOrder,SD_DeliveryTotalCost,InStoreNetProfit,UberEatsNetProfit,DoorDashNetProfit,SelfDeliveryNetProfit,InStoreShare,UE_share,DD_share,SD_share,TotalRevenue,TotalNetProfit,ProfitPerOrder,UE_RevRatio,DD_RevRatio,SD_RevRatio,DeliveryCostRatio,Commission_UE,Commission_DD,SD_Cost_Interaction,Radius_SD,AdjustedDemand,InStore_RevRatio,Aggregator_RevRatio,ProfitMargin,RevenuePerOrder,AggregtorShare,SD_ProfitPerOrder,AggregatorProfit,TotalDeliveryOrders,DeloveryOrderRatio,CuisineType_Chicken Dishes,CuisineType_Chinese,CuisineType_Indian,CuisineType_Japanese,CuisineType_Kebabs/Mediterranean,CuisineType_Pizza,CuisineType_Thai,Segment_Full-service,Segment_Ghost Kitchen,Segment_QSR,Subregion_North Shore,Subregion_South Auckland,Subregion_West Auckland
25731,Urban Burgers House,0.07690662440622288,1.2231940380728072,-1.2375991238035084,197,8662.09,212,118,141,9321.64,5188.46,6199.77,0.2087414306961,0.366171811125241,-1.1311834768716929,0.0953413689994095,0.09716734920559957,458.25,3682.14,1352.45,752.78,2177.19,1.5310105346592204,-0.5433048870569469,-0.44456923673684107,0.54999717551705,29371.96,7964.559999999999,11.922994011976048,0.3173652694610778,0.1766467065868263,0.2110778443113772,0.0156016146011365,-0.9084908092496253,-0.8556819049893761,0.4362844503534074,0.43451389779474536,-1.2291196756579934,0.2949101796407186,0.4940119760479041,0.2711620198311587,43.97,0.7,15.441063829787234,2105.23,471,0.7050898203592815,-0.3092041965144051,-0.3840528831425013,-0.4905843521595039,-0.2759386380695814,-0.33048708528210347,-0.38506301746655297,-0.27593863806958147,-0.6027802679641606,-0.36252027156863764,-0.6862545882765491,1.8515394766032847,-0.5927853087845186,-0.6118759845110723
25123,Urban Burgers Diner,0.9582149689532095,0.4336188266032893,0.46771210412649905,259,10476.55,508,282,339,20548.6,11406.9,13712.55,0.248216602616012,0.407612904394045,-1.1311834768716929,1.1923492511093043,1.1905500069572885,1600.08,3605.72,1318.61,731.99,3119.38,0.03423302581972189,-0.5433048870569469,-0.44456923673684107,0.54999717551705,56144.59999999999,8775.7,6.322550432276658,0.3659942363112392,0.2031700288184438,0.2442363112391931,0.0284992679616561,-0.9084908092496253,-0.8556819049893761,1.3936206979059622,1.3953582247883853,0.5334056328456644,0.1865994236311239,0.5691642651296831,0.1563053258906467,40.45,0.7,9.201710914454278,2050.6,1129,0.8134005763688761,-0.3092041965144051,-0.3840528831425013,-0.4905843521595039,-0.2759386380695814,-0.33048708528210347,-0.38506301746655297,-0.27593863806958147,-0.6027802679641606,-0.36252027156863764,1.457185157058676,-0.5400911039901433,1.686951388944605,-0.6118759845110723
25177,King Burgers Eatery,0.5175607966797162,0.33940814796203955,1.2469445957778498,524,20975.72,537,298,358,21496.11,11928.94,14330.74,0.219687956366688,0.407931713876314,-0.015459617159922221,0.0953413689994095,0.09716734920559957,1163.5,7810.95,1555.9,863.42,4172.99,1.6885660619054836,-0.5433048870569469,-0.44456923673684107,0.54999717551705,68731.51000000001,14403.26,8.38861968549796,0.3127548048922539,0.1735585323238206,0.2085032032615026,0.0169281891231547,-0.5029577280276248,-0.4113759591601559,0.4362844503534074,0.43451389779474536,1.2854616381950206,0.3051834595224228,0.4863133372160745,0.2095583233949028,40.03000000000001,0.7,11.656396648044693,2419.32,1193,0.6948165404775771,-0.3092041965144051,-0.3840528831425013,-0.4905843521595039,-0.2759386380695814,-0.33048708528210347,-0.38506301746655297,-0.27593863806958147,-0.6027802679641606,-0.36252027156863764,-0.6862545882765491,-0.5400911039901433,-0.5927853087845186,1.6343181058152882
25540,Classic Burgers Tavern,0.07690662440622288,-0.5017586256205443,-0.25467667992718473,216,7836.48,390,217,260,14149.2,7872.76,9432.8,0.237290996648371,0.437815106310882,1.6581261724077387,-1.6598712423764221,-1.6581952850079964,231.4,2546.02,-72.25,-40.2,2833.26,0.19178855306598483,-0.5433048870569469,-0.44456923673684107,0.54999717551705,39291.240000000005,5266.83,4.863185595567867,0.3601108033240996,0.2003693444136657,0.2400738688827331,0.0058893534538487,0.10534189380537475,0.2550829595836762,-1.1006635389146397,-1.1028370253950786,-0.2498753126551228,0.1994459833795013,0.5604801477377653,0.134045909469897,36.28000000000001,0.7,10.897153846153849,-112.45,867,0.8005540166204986,-0.3092041965144051,-0.3840528831425013,-0.4905843521595039,-0.2759386380695814,-0.33048708528210347,-0.38506301746655297,-0.27593863806958147,-0.6027802679641606,-0.36252027156863764,1.457185157058676,1.8515394766032847,-0.5927853087845186,-0.6118759845110723
25258,Lucky Burgers Bistro,0.9582149689532095,-0.9369222364872672,0.09349102910852519,261,8962.74,436,242,291,14972.24,8310.28,9992.94,0.221437567938119,0.433456663764082,1.6581261724077387,-0.34346178384454845,-0.3416733093477993,774.06,3093.09,226.17,125.53,2674.56,0.349344080312248,-0.5433048870569469,-0.44456923673684107,0.54999717551705,42238.2,6119.35,4.975081300813009,0.3544715447154471,0.1967479674796748,0.2365853658536585,0.0183260650311803,0.10534189380537475,0.2550829595836762,0.052047453036395706,0.050176166997289606,0.15334564963785935,0.2121951219512194,0.5512195121951219,0.1448771491209379,34.34,0.7,9.190927835051546,351.7,969,0.7878048780487805,-0.3092041965144051,-0.3840528831425013,-0.4905843521595039,-0.2759386380695814,-0.33048708528210347,-0.38506301746655297,-0.27593863806958147,-0.6027802679641606,-0.36252027156863764,-0.6862545882765491,-0.5400911039901433,1.686951388944605,-0.6118759845110723
26138,King Burgers Kitchen,0.07690662440622288,-0.36717194184733065,-0.8610095609689651,160,5900.8,300,167,200,11064.0,6158.96,7376.0,0.265131494924426,0.395680021704175,-0.5733215470158092,0.5341445218433674,0.5360080077589985,768.0,2001.48,544.22,302.95,1733.85,0.11301078944285325,-0.5433048870569469,-0.44456923673684107,0.54999717551705,30499.76,4582.5,5.541112454655381,0.3627569528415961,0.2019347037484885,0.2418379685610641,0.0251805260106964,-0.7057242686386251,-0.6335289320747666,0.8205214476704191,0.8188516285922014,-0.8539393052544837,0.1934703748488513,0.5646916565900847,0.1502470839114799,36.88,0.7,8.66925,847.1700000000001,667,0.8065296251511487,-0.3092041965144051,-0.3840528831425013,-0.4905843521595039,-0.2759386380695814,-0.33048708528210347,-0.38506301746655297,-0.27593863806958147,-0.6027802679641606,-0.36252027156863764,1.457185157058676,1.8515394766032847,-0.5927853087845186,-0.6118759845110723
25396,Urban Burgers Eatery,0.9582149689532095,1.7503252161845602,-0.7331112188742145,176,8152.32,317,176,212,14683.44,8152.32,9819.84,0.224100138861686,0.372992298309691,-1.1311834768716929,-0.7822649366885064,-0.7805139679011985,438.84,3284.63,1804.71,1001.98,3517.65,0.19178855306598483,-0.5433048870569469,-0.44456923673684107,0.54999717551705,40807.92,9608.97,10.906889897843358,0.3598183881952327,0.1997729852440408,0.2406356413166856,0.0107537948515876,-0.9084908092496253,-0.8556819049893761,-0.3321895442806165,-0.33416156380016643,-0.6861539335236845,0.1997729852440408,0.5595913734392737,0.2354682620432504,46.32,0.7,16.592688679245285,2806.69,705,0.8002270147559591,-0.3092041965144051,-0.3840528831425013,-0.4905843521595039,-0.2759386380695814,-0.33048708528210347,-0.38506301746655297,-0.27593863806958147,-0.6027802679641606,-0.36252027156863764,1.457185157058676,-0.5400911039901433,1.686951388944605,-0.6118759845110723
25087,Urban Burgers Tavern,-1.6857100646877503,-0.8471977806384586,-0.9249587320163404,72,2501.28,328,182,218,11394.72,6322.68,7573.32,0.285647804650944,0.293128232413437,0.5424023126959647,1.631152403953262,1.6293906655106873,1157.58,1053.6,1267.37,703.23,2032.48,-0.9898779012809877,-0.5433048870569469,-0.44456923673684107,0.54999717551705,27792.0,5056.68,6.32085,0.41,0.2275,0.2724999999999999,0.041651554404145,-0.30019118741662454,-0.1892229862455452,1.7778576952229732,1.7796959555858418,-0.9909579164398896,0.09,0.6375000000000001,0.181947322970639,34.74,0.7,9.32330275229358,1970.6,728,0.91,-0.3092041965144051,-0.3840528831425013,-0.4905843521595039,-0.2759386380695814,-0.33048708528210347,-0.38506301746655297,-0.27593863806958147,-0.6027802679641606,2.7584664318852177,-0.6862545882765491,-0.5400911039901433,-0.5927853087845186,-0.6118759845110723
25125,Classic Burgers Tavern,-1.6857100646877503,-1.2846045029014028,-1.3702344415313978,152,4984.08,207,115,138,6787.53,3770.85,4525.02,0.279599561002105,0.3755833853269,-0.015459617159922221,-0.5628633602665275,-0.5648126272563075,325.68,1718.6,304.2,169.0,1234.62,0.822010662051037,-0.5433048870569469,-0.44456923673684107,0.54999717551705,20067.480000000003,3426.42,5.598725490196078,0.3382352941176469,0.1879084967320261,0.2254901960784313,0.0162292425356846,-0.5029577280276248,-0.4113759591601559,-0.14332729136208505,-0.14199269840143858,-1.417339857818049,0.2483660130718953,0.5261437908496731,0.1707449066848453,32.790000000000006,0.7,8.946521739130434,473.2,460,0.7516339869281046,-0.3092041965144051,-0.3840528831425013,-0.4905843521595039,-0.2759386380695814,-0.33048708528210347,-0.38506301746655297,-0.27593863806958147,-0.6027802679641606,-0.36252027156863764,-0.6862545882765491,-0.5400911039901433,-0.5927853087845186,-0.6118759845110723
25762,Lucky Burgers Cafe,0.9582149689532095,-0.5488639649411692,-1.4649739541941762,128,4616.96,200,111,133,7214.0,4003.77,4797.31,0.22032218426466,0.43025645299349,-1.68904540672758,0.0953413689994095,0.09716734920559957,432.25,1613.26,572.95,317.98,1244.03,0.5068996075585107,-0.5433048870569469,-0.44456923673684107,0.54999717551705,20632.04,3748.22,6.552832167832168,0.3496503496503496,0.194055944055944,0.2325174825174825,0.0209504246792852,-1.1112573498606257,-1.0778348779039868,0.4362844503534074,0.43451389779474536,-1.4294357994174294,0.2237762237762237,0.5437062937062938,0.181669868805993,36.07,0.7,9.353609022556393,890.9300000000001,444,0.7762237762237763,-0.3092041965144051,-0.3840528831425013,-0.4905843521595039,-0.2759386380695814,-0.33048708528210347,-0.38506301746655297,-0.27593863806958147,-0.6027802679641606,-0.36252027156863764,1.457185157058676,-0.5400911039901433,1.686951388944605,-0.6118759845110723
25009,Lucky Burgers Eatery,0.9582149689532095,1.530500299354979,-0.36599560730594904,274,12423.16,343,190,229,15551.62,8614.6,10382.86,0.267623493429273,0.392365170945413,0.5424023126959647,0.5341445218433674,0.5360080077589985,879.36,4224.02,466.72,258.54,2650.93,1.0583439529204313,-0.5433048870569469,-0.44456923673684107,0.54999717551705,46972.24,7600.210000000001,7.336110038610039,0.3310810810810811,0.1833976833976834,0.221042471042471,0.0187208444817619,-0.30019118741662454,-0.1892229862455452,0.8205214476704191,0.8188516285922014,-0.3133102791109645,0.2644787644787645,0.5144787644787645,0.1618021622984128,45.34,0.7,11.576113537117903,725.26,762,0.7355212355212355,-0.3092041965144051,-0.3840528831425013,-0.4905843521595039,-0.2759386380695814,-0.33048708528210347,-0.38506301746655297,-0.27593863806958147,-0.6027802679641606,-0.36252027156863764,-0.6862545882765491,-0.5400911039901433,1.686951388944605,-0.6118759845110723
25107,King Burgers Eatery,-1.6857100646877503,0.9001859970170956,-0.5625800960812138,62,2636.86,401,223,267,17054.53,9484.19,11355.51,0.260719021281693,0.292267443262972,-0.5733215470158092,-0.12406020742256946,-0.12597196870290825,787.65,1178.71,2677.79,1489.15,4288.42,-1.2262111921503822,-0.5433048870569469,-0.44456923673684107,0.54999717551705,40531.09,9634.07,10.109202518363064,0.4207764952780692,0.2339979013641133,0.2801678908709338,0.0194332301450565,-0.7057242686386251,-0.6335289320747666,0.24090970595492686,0.24234503239601748,-0.643955591807664,0.0650577124868835,0.6547743966421825,0.2376958033943819,42.53,0.7,16.061498127340823,4166.9400000000005,891,0.9349422875131164,-0.3092041965144051,-0.3840528831425013,-0.4905843521595039,-0.2759386380695814,-0.33048708528210347,-0.38506301746655297,-0.27593863806958147,-0.6027802679641606,2.7584664318852177,-0.6862545882765491,-0.5400911039901433,-0.5927853087845186,-0.6118759845110723
